people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,2,Sen,HD-064,22070,70660,,"Isadore_Hall,_III"
1533,"Diane Harkey",Diane,L.,Harkey,,,2,R,1,Rep,HD-073,2272886,70764,,Diane_Harkey
1534,"Mary Hayashi",Mary,,Hayashi,,,1,D,1,Rep,HD-018,795655,59886,,Mary_Hayashi
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022,363200,69507,,Edward_Hernandez
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013,6485659,81552,,Gerald_Hill
1537,"Alyson Huber",Alyson,L.,Huber,,,1,D,1,Rep,HD-010,6485668,104343,,Alyson_Huber
1538,"Jared Huffman",Jared,,Huffman,,,1,D,1,Rep,HD-006,13008447,59849,,Jared_Huffman
1539,"Kevin Jeffries",Kevin,,Jeffries,,,2,R,1,Rep,HD-066,13008804,59945,,Kevin_Jeffries
1540,"Dave Jones",Dave,,Jones,,,1,D,1,Rep,HD-009,13008469,28659,,Dave_Jones
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen,SD-021,13008615,71098,,Stephen_Knight
1542,"Ted Lieu",Ted,W.,Lieu,,,1,D,2,Sen,SD-028,2451821,1516,,Ted_Lieu
1543,"Dan Logue",Dan,,Logue,,,2,R,1,Rep,HD-003,2324003,82026,,Dan_Logue
1544,"Bonnie Lowenthal",Bonnie,,Lowenthal,,,1,D,1,Rep,HD-070,6485687,70442,,Bonnie_Lowenthal
1545,"Fiona Ma",Fiona,,Ma,,,1,D,1,Rep,HD-012,1403023,58414,,Fiona_Ma
1546,"Tony Mendoza",Tony,,Mendoza,,,1,D,2,Sen,SD-032,13008740,56753,,Tony_Mendoza_(California)
1547,"Jeff Miller",Jeff,,Miller,,,2,R,1,Rep,HD-071,1269359,70681,,Jeff_Miller_(California)
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017,6485702,104370,,Bill_Monning
1550,"Brian Nestande",Brian,,Nestande,,,2,R,1,Rep,HD-042,13008655,104422,,Brian_Nestande
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004,13008412,104331,,Jim_Nielsen
1553,"Chris Norby",Chris,,Norby,,,2,R,1,Rep,HD-072,13008801,82734,,Chris_Norby
1554,"John Perez",John,A.,Perez,,,1,D,1,Rep,HD-053,774880,104400,,John_Perez
1555,"Manuel Perez","V. Manuel",,Perez,,,1,D,1,Rep,HD-056,6485714,104441,,Manuel_Perez
1556,"Anthony Portantino",Anthony,J.,Portantino,,,1,D,2,Sen,SD-025,22560,69513,,"Anthony_Portantino,_Jr."
1560,"Jim Silva",Jim,,Silva,,,2,R,1,Rep,HD-067,2279836,59950,,Jim_Silva
1561,"Nancy Skinner",Nancy,C.,Skinner,,,1,D,2,Sen,SD-009,81851,104350,,Nancy_Skinner
1562,"Cameron Smyth",Cameron,M.,Smyth,,,2,R,1,Rep,HD-038,13008630,58498,,Cameron_Smyth
1563,"Jose Solorio",Jose,,Solorio,,,1,D,1,Rep,HD-069,22144,58190,,Jose_Solorio_(California)
1565,"Sandre Swanson",Sandre,R.,Swanson,,,1,D,1,Rep,HD-016,1259034,59884,,Sandr%C3%A9_Swanson
1567,"Norma Torres",Norma,J.,Torres,,,1,D,2,Sen,SD-032,6485739,71284,,Norma_Torres
1571,"Mariko Yamada",Mariko,,Yamada,,,1,D,1,Rep,HD-004,2020228,81977,,Mariko_Yamada
1573,"Elaine Alquist",Elaine,,Alquist,,,1,D,2,Sen,SD-013,180844,9671,,Elaine_Alquist
